Age,Train,Val,Test
Total,158987,8801,8907
2,138,7,9
3,114,6,7
4,111,6,7
5,106,5,7
6,126,7,8
7,109,6,7
8,114,6,7
9,120,6,8
10,91,5,6
11,93,5,6
12,108,6,6
13,127,7,8
14,100,5,7
15,1224,68,69
16,2281,126,128
17,2349,130,131
18,5170,287,288
19,11361,631,632
20,12071,670,672
21,11463,636,638
22,12411,689,691
23,9677,537,539
24,11855,658,660
25,10393,577,578
26,7269,403,405
27,6283,349,350
28,5007,278,279
29,2754,153,154
30,4607,255,257
31,4340,241,242
32,3991,221,223
33,3708,206,206
34,3789,210,212
35,4129,229,230
36,4127,229,230
37,3804,211,212
38,3638,202,203
39,3624,201,202
40,1423,79,80
41,346,19,20
42,360,20,21
43,317,17,19
44,247,13,15
45,248,13,15
46,220,12,13
47,204,11,12
48,169,9,10
49,177,9,11
50,133,7,8
51,129,7,8
52,117,6,8
53,140,7,9
54,135,7,8
55,125,6,8
56,153,8,10
57,117,6,8
58,73,4,5
59,102,5,7
60,104,5,7
61,96,5,6
62,78,4,5
63,86,4,6
64,61,3,4
65,55,3,4
66,76,4,5
67,78,4,5
68,58,3,4
69,80,4,5
70,48,2,4
71,42,2,3
72,58,3,4
73,45,2,3
74,45,2,3
75,32,1,3
76,45,2,3
77,45,2,3
78,54,3,4
79,38,2,3
80,46,2,4
